date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:48:57	17140/17140	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%22ec0bded212eab2b1fd3358e2a90c3101-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/edefe737-dc78-4aa3-ad03-3c6f908330ed.eot?	D:/MyWebSites/tmaxcloud/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/edefe737-dc78-4aa3-ad03-3c6f908330edd41d.eot	(from https://www.tmax.co.kr/)
21:48:57	17216/17216	U-----	200	untouched ('')	application/octet-stream	etag:%22ef4257ccfa0fce4d914b23a28aa6fdf4-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/0078f486-8e52-42c0-ad81-3c8d3d43f48e.woff2	D:/MyWebSites/tmaxcloud/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/0078f486-8e52-42c0-ad81-3c8d3d43f48e.woff2	(from https://www.tmax.co.kr/)
21:48:58	22217/22217	U-----	200	untouched ('')	application/x-font-woff	etag:W/%228d2ec16d0690422bc42584ecea721344-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/908c4810-64db-4b46-bb8e-823eb41f68c0.woff	D:/MyWebSites/tmaxcloud/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/908c4810-64db-4b46-bb8e-823eb41f68c0.woff	(from https://www.tmax.co.kr/)
21:48:58	13852/13852	---M--	200	added ('OK')	font/woff	date:Wed,%2011%20Oct%202017%2018:22:42%20GMT	http://fonts.gstatic.com/s/poppins/v5/9VWMTeb5jtXkNoTv949NpRsxEYwM7FgeyaSgU71cLG0.woff	D:/MyWebSites/tmaxcloud/fonts.gstatic.com/s/poppins/v5/9VWMTeb5jtXkNoTv949NpRsxEYwM7FgeyaSgU71cLG0.woff	(from https://www.tmax.co.kr/)
21:48:58	11593/11593	---M--	200	added ('OK')	font/eot	date:Wed,%2011%20Oct%202017%2018:22:28%20GMT	http://fonts.gstatic.com/s/poppins/v5/aDjpMND83pDErGXlVEr-SVQlYEbsez9cZjKsNMjLOwM.eot?	D:/MyWebSites/tmaxcloud/fonts.gstatic.com/s/poppins/v5/aDjpMND83pDErGXlVEr-SVQlYEbsez9cZjKsNMjLOwMd41d.eot	(from https://www.tmax.co.kr/)
21:48:59	53071/53071	U-----	200	untouched ('OK')	image/svg+xml	etag:%22efe7349d2d6593272a9c9fd15c53c5a6-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/b0268c31-e450-4159-bfea-e0d20e2b5c0c.svg	D:/MyWebSites/tmaxcloud/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/b0268c31-e450-4159-bfea-e0d20e2b5c0c.svg	(from https://www.tmax.co.kr/)
21:48:59	36352/36352	U-----	200	untouched ('')	application/x-font-ttf	etag:%22977b802bf8173fc8ac6b2ca31c326327-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/4577388c-510f-4366-addb-8b663bcc762a.ttf	D:/MyWebSites/tmaxcloud/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/4577388c-510f-4366-addb-8b663bcc762a.ttf	(from https://www.tmax.co.kr/)
21:48:59	2369982/2369982	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%2254c2e297e2cee2a4b7293ed0cf694a68-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/open-source/nanum-gothic-regular.eot?	D:/MyWebSites/tmaxcloud/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/open-source/nanum-gothic-regulard41d.eot	(from https://www.tmax.co.kr/)
21:48:59	51343/51343	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2006%20Nov%202020%2000:59:44%20GMT	http://fonts.gstatic.com/l/font?kit=aDjpMND83pDErGXlVEr-SaWUboTb-jS2tyCOQMtm97g&skey=cea76fe63715a67a&v=v5	D:/MyWebSites/tmaxcloud/fonts.gstatic.com/l/font.svg_;%20filename_=UTF-8''font771e.svg	(from https://www.tmax.co.kr/)
21:49:00	1007984/1007984	U-----	200	untouched ('')	application/x-font-woff	etag:W/%22e5e49003705c017f6366b47c2b80de7b-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/open-source/nanum-gothic-regular.woff	D:/MyWebSites/tmaxcloud/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/open-source/nanum-gothic-regular.woff	(from https://www.tmax.co.kr/)
